Time,State,FocusScore
2026-01-28 23:26:40.782482,Focused,80
2026-01-28 23:26:40.893570,Focused,80
2026-01-28 23:26:40.968343,Focused,80
2026-01-28 23:26:41.045697,Focused,80
2026-01-28 23:26:41.110492,Focused,80
2026-01-28 23:26:41.211270,Focused,80
2026-01-28 23:26:41.275414,Focused,80
2026-01-28 23:26:41.331398,Focused,80
2026-01-28 23:26:41.392771,Focused,80
2026-01-28 23:26:41.445757,Focused,80
2026-01-28 23:26:41.503371,Focused,80
2026-01-28 23:26:41.592169,Focused,80
2026-01-28 23:26:41.647435,Focused,80
2026-01-28 23:26:41.708593,Focused,80
2026-01-28 23:26:41.782352,Focused,80
2026-01-28 23:26:41.851570,Focused,80
2026-01-28 23:26:41.915712,Focused,80
2026-01-28 23:26:41.977836,Focused,80
2026-01-28 23:26:42.046718,Focused,80
2026-01-28 23:26:42.106841,Focused,80
2026-01-28 23:26:42.170012,Focused,80
2026-01-28 23:26:42.225380,Focused,80
2026-01-28 23:26:42.300419,Focused,80
2026-01-28 23:26:42.369180,Focused,80
2026-01-28 23:26:42.433044,Focused,80
2026-01-28 23:26:42.493990,Focused,80
2026-01-28 23:26:42.559613,Focused,80
2026-01-28 23:26:42.625666,Focused,80
2026-01-28 23:26:42.692784,Focused,80
2026-01-28 23:26:42.758584,Focused,80
2026-01-28 23:26:42.842503,Focused,80
2026-01-28 23:26:42.927966,Focused,80
2026-01-28 23:26:42.998918,Focused,80
2026-01-28 23:26:43.081849,Focused,80
2026-01-28 23:26:43.167531,Focused,80
2026-01-28 23:26:43.249101,Focused,80
2026-01-28 23:26:43.334928,Focused,80
2026-01-28 23:26:43.425209,Focused,80
2026-01-28 23:26:43.508511,Focused,80
2026-01-28 23:26:43.620485,Focused,80
2026-01-28 23:26:43.683407,Focused,80
2026-01-28 23:26:43.747802,Focused,80
2026-01-28 23:26:43.834538,Focused,100
2026-01-28 23:26:43.933873,Focused,100
2026-01-28 23:26:44.007729,Focused,100
2026-01-28 23:26:44.078089,Distracted,60
2026-01-28 23:26:44.164550,Focused,90
2026-01-28 23:26:44.236115,Focused,90
2026-01-28 23:26:44.345394,Focused,90
2026-01-28 23:26:44.432881,Focused,90
2026-01-28 23:26:44.515659,Focused,100
2026-01-28 23:26:44.585294,Focused,90
2026-01-28 23:26:44.658450,Focused,90
2026-01-28 23:26:44.743342,Focused,90
2026-01-28 23:26:44.827778,Focused,90
2026-01-28 23:26:44.897241,Focused,90
2026-01-28 23:26:44.992279,Focused,90
2026-01-28 23:26:45.070159,Focused,90
2026-01-28 23:26:45.143666,Focused,90
2026-01-28 23:26:45.227027,Focused,90
2026-01-28 23:26:45.296041,Focused,90
2026-01-28 23:26:45.375084,Distracted,70
2026-01-28 23:26:45.445579,Distracted,60
2026-01-28 23:26:45.527555,Distracted,60
2026-01-28 23:26:45.597425,Distracted,70
2026-01-28 23:26:45.664412,Distracted,70
2026-01-28 23:26:45.725998,Distracted,70
2026-01-28 23:26:45.792570,Tired / Stressed,50
2026-01-28 23:26:45.859038,Tired / Stressed,50
2026-01-28 23:26:45.925463,Tired / Stressed,50
2026-01-28 23:26:46.045567,Tired / Stressed,50
2026-01-28 23:26:46.147095,Tired / Stressed,50
2026-01-28 23:26:46.244513,Tired / Stressed,50
2026-01-28 23:26:46.315773,Tired / Stressed,50
2026-01-28 23:26:46.392503,Tired / Stressed,50
2026-01-28 23:26:46.465622,Tired / Stressed,50
2026-01-28 23:26:46.532202,Focused,80
2026-01-28 23:26:46.608723,Focused,80
2026-01-28 23:26:46.682713,Focused,80
2026-01-28 23:26:46.750339,Focused,80
2026-01-28 23:26:46.816757,Focused,80
2026-01-28 23:26:46.882960,Focused,80
2026-01-28 23:26:46.958499,Focused,80
2026-01-28 23:26:47.041847,Focused,80
2026-01-28 23:26:47.123114,Focused,80
2026-01-28 23:26:47.198008,Focused,80
2026-01-28 23:26:47.265372,Focused,80
2026-01-28 23:26:47.342646,Focused,80
2026-01-28 23:26:47.416677,Focused,80
2026-01-28 23:26:47.484824,Focused,80
